feature,latent_dim,full_weight,mean_boot_weight,p_unc,p_fdr,fdr_significant,final_significant,thresholded_weight,sign
feature_97,0,-0.01210226050956276,-0.013252881577843795,0.6366726654669066,0.7774108336227492,False,False,0.0,zero
feature_98,0,-0.0231500743653769,-0.022183034709310802,0.4091181763647271,0.6446502907210766,False,False,0.0,zero
feature_99,0,-0.02628785901948294,-0.025223695541842103,0.35752849430113975,0.6190045572974957,False,False,0.0,zero
feature_100,0,0.11799981671650218,0.12521439350947766,0.0003999200159968006,0.005798840231953609,True,True,0.11799981671650218,positive
feature_101,0,0.021155936642315153,0.021991089488874394,0.36992601479704057,0.6294453339547917,False,False,0.0,zero
feature_102,0,0.028889664721163617,0.03101417521211156,0.1939612077584483,0.41956918350843103,False,False,0.0,zero
feature_103,0,-0.0452935565533742,-0.04708959154256969,0.04879024195160968,0.17712821072149207,False,False,0.0,zero
feature_104,0,-0.1487738578339294,-0.15577949668560226,0.0003999200159968006,0.005798840231953609,True,True,-0.1487738578339294,negative
feature_105,0,-0.013756580676441671,-0.015692141995502815,0.5126974605078984,0.7269765559083305,False,False,0.0,zero
feature_106,0,-0.011219937848347999,-0.011496927147846753,0.633873225354929,0.7774108336227492,False,False,0.0,zero
feature_107,0,-0.04659094118623567,-0.04766936757959366,0.03679264147170566,0.14624871635842324,False,False,0.0,zero
feature_108,0,0.007182045038856594,0.004280981473173287,0.8358328334333134,0.9103906918146888,False,False,0.0,zero
feature_109,0,0.02988396176976109,0.030806554141909873,0.1739652069586083,0.3918439613048264,False,False,0.0,zero
feature_110,0,0.015449242723774867,0.01314810490228435,0.5594881023795241,0.7668113436136302,False,False,0.0,zero
feature_111,0,-0.033499765302500886,-0.0358933319943565,0.10917816436712657,0.2814370459241485,False,False,0.0,zero
feature_112,0,0.015296776383683373,0.016955939352712404,0.4251149770045991,0.6446502907210766,False,False,0.0,zero
feature_113,0,-0.02979081050194963,-0.029805712504201505,0.19796040791841632,0.41956918350843103,False,False,0.0,zero
feature_114,0,-0.014008671327767178,-0.012448352295281224,0.6202759448110378,0.7774108336227492,False,False,0.0,zero
feature_115,0,0.02219525700138447,0.025464715228272542,0.35192961407718454,0.6180778881817621,False,False,0.0,zero
feature_116,0,0.03976633797435582,0.04006374923022107,0.14117176564687062,0.33764793433065965,False,False,0.0,zero
feature_117,0,-0.005958699306083289,-0.00923288528557102,0.7534493101379725,0.8610849258719685,False,False,0.0,zero
feature_118,0,-0.02693522471865008,-0.02555392265116587,0.3743251349730054,0.6294453339547917,False,False,0.0,zero
feature_119,0,-0.028724257000469117,-0.025558637567114708,0.39072185562887424,0.6294963229576307,False,False,0.0,zero
feature_120,0,-0.007926891442837045,-0.010193067482205057,0.7258548290341932,0.8501903579680105,False,False,0.0,zero
feature_121,0,-0.03008808184131853,-0.03187871256789904,0.22795440911817635,0.45201216167023006,False,False,0.0,zero
feature_122,0,-0.050781890792474194,-0.04883544781605086,0.09518096380723855,0.2533246159756813,False,False,0.0,zero
feature_123,0,-0.008096401839952947,-0.007284586047594334,0.7854429114177165,0.888891489994684,False,False,0.0,zero
feature_124,0,0.02988278637095175,0.031238764709754098,0.2715456908618276,0.5163819695077377,False,False,0.0,zero
feature_125,0,-0.02500544962556618,-0.02330934579328348,0.4195160967806439,0.6446502907210766,False,False,0.0,zero
feature_126,0,0.028707979211302102,0.028568763063805874,0.28834233153369326,0.5309160390144194,False,False,0.0,zero
feature_127,0,0.022710798350323413,0.02123644634859053,0.3887222555488902,0.6294963229576307,False,False,0.0,zero
feature_128,0,0.03900629474437925,0.037632477748696734,0.13917216556688664,0.33764793433065965,False,False,0.0,zero
feature_129,0,0.02059334702518367,0.020584626030800548,0.48470305938812236,0.6984540980002757,False,False,0.0,zero
feature_130,0,-0.006769750221194172,-0.00530211698848893,0.8310337932413517,0.9103906918146888,False,False,0.0,zero
feature_131,0,0.08921528553646987,0.09169675086971223,0.0007998400319936012,0.00843467670102343,True,True,0.08921528553646987,positive
feature_132,0,-0.02460013290013965,-0.02439320317248806,0.377124575084983,0.6294453339547917,False,False,0.0,zero
feature_133,0,0.002577314635888737,0.003468556855032504,0.8966206758648271,0.9370089945974769,False,False,0.0,zero
