"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"age_moderation","12_to_16",12,16,"ACME_avg",-0.0240155103223707,0.0142781302114057,-0.0602276768916375,-0.00501161268767042,0,1000
"age_moderation","12_to_16",12,16,"ADE_Ma0",0.115989646296011,0.0782098655442538,-0.054709749964553,0.257517679700715,0.176,1000
"age_moderation","12_to_16",12,16,"ADE_Ma1",0.115989559837459,0.0779209746365809,-0.0511467582322543,0.257224958181342,0.176,1000
"age_moderation","12_to_16",12,16,"ADE_avg",0.115989603066735,0.0779065885737262,-0.0539136050483007,0.255304348561764,0.172,1000
"age_moderation","12_to_16",12,16,"Total_effect",0.0919740927443642,0.0794582985330828,-0.0813182058625619,0.231194144058428,0.334,1000
"age_moderation","12_to_16",12,16,"Prop_med_avg",-0.26111168488631,46.4809279021936,-3.53675087186303,4.11824217938754,0.334,1000
"age_moderation","16_to_19",16,19,"ACME_at_age0",0.0286909507500011,0.0223474751995509,-0.00818374876989588,0.0773640849088662,0.18,1000
"age_moderation","16_to_19",16,19,"ACME_at_age1",0.0286886666157127,0.0237534565230959,-0.0153042588570723,0.0760975604647206,0.374,1000
"age_moderation","16_to_19",16,19,"ACME_avg",0.0286898086828569,0.0207328096875392,-0.00775169942909391,0.0721185208452435,0.2,1000
"age_moderation","16_to_19",16,19,"ADE_Ma0",0.0873213557671583,0.125958896387401,0.012148165027374,0.474358093850718,0.03,1000
"age_moderation","16_to_19",16,19,"ADE_Ma1",0.0873190716328699,0.120944049385998,0.00642158871729019,0.461207716435327,0.042,1000
"age_moderation","16_to_19",16,19,"ADE_avg",0.0873202137000141,0.123063335546183,0.0129785178185479,0.463560596866352,0.036,1000
"age_moderation","16_to_19",16,19,"Total_effect",0.116010022382871,0.120322693147717,0.0305033647308834,0.481116854279346,0.018,1000
"age_moderation","16_to_19",16,19,"Prop_med_avg",0.247304569842863,0.480016252931524,-0.0694872258623476,0.661707183579307,0.21,1000
"age_moderation","8_to_19",8,19,"ACME_at_age0",0.0159082863981079,0.028503153703768,-0.0513710746476978,0.0596591521085396,0.814,1000
